"x","Re[Er]","Im[Er]"
0.,0.,0
0.004,4.043884955854e-7,0
0.008,8.35446861675442e-7,0
0.012,1.3215453966997544e-6,0
0.016,1.8944993856258562e-6,0
0.02,2.5915422581057e-6,0
0.024,3.4576424142514287e-6,0
0.028,4.548204424682545e-6,0
0.032,5.9320883579461895e-6,0
0.036000000000000004,7.695743104274129e-6,0
0.04,9.948355842184813e-6,0
0.044,0.000012828332999590521,0
0.048,0.000016510036064557065,0
0.052000000000000005,0.000021208870952535743,0
0.056,0.00002719600785545645,0
0.06,0.00003481466166220439,0
0.064,0.00004449637237909673,0
0.068,0.000056777323259765624,0
0.07200000000000001,0.00007232702492330909,0
0.076,0.00009197688267140826,0
0.08,0.00011672499470822423,0
0.084,0.00014779001732645155,0
0.088,0.0001866719699611913,0
0.092,0.00023521304024382478,0
0.096,0.00029565838905588643,0
0.1,0.00037071695558293715,0
0.10400000000000001,0.0004636222623684376,0
0.108,0.0005781950631532661,0
0.112,0.0007189506179382256,0
0.116,0.0008912439676900122,0
0.12,0.0011013587391894989,0
0.124,0.0013565838541315684,0
0.128,0.0016652902278289064,0
0.132,0.0020370074679157972,0
0.136,0.002482500573051922,0
0.14,0.003013846601989594,0
0.14400000000000002,0.0036443987192591506,0
0.148,0.004388694670140815,0
0.152,0.005262699949407893,0
0.156,0.006283437280484693,0
0.16,0.007468499036058285,0
0.164,0.008835559658690217,0
0.168,0.010401888081428255,0
0.17200000000000001,0.012183860148418109,0
0.176,0.014196471954435332,0
0.18,0.01645243357855692,0
0.184,0.018960244288931442,0
0.188,0.021722690936292005,0
0.192,0.024735567844049337,0
0.196,0.027986397636107243,0
0.2,0.03145315206467806,0
0.20400000000000001,0.035102972838098115,0
0.20800000000000002,0.0388908924486432,0
0.212,0.042758555000344,0
0.216,0.04663293703680165,0
0.22,0.05042510252333336,0
0.224,0.05403293387888573,0
0.228,0.05734237868044134,0
0.232,0.06022208729559343,0
0.23600000000000002,0.06252922076108183,0
0.24,0.06411652631432632,0
0.244,0.06483941292496011,0
0.248,0.06456302682636303,0
0.252,0.06316932704719516,0
0.256,0.06056416094293009,0
0.26,0.056684339727388316,0
0.264,0.0515047140042707,0
0.268,0.04504524929869182,0
0.272,0.03737810158871335,0
0.276,0.028634692836877522,0
0.28,0.019010639179390137,0
0.28400000000000003,0.008757065940983279,0
0.28800000000000003,-0.0018075155880913352,0
0.292,-0.01230446778868717,0
0.296,-0.022317353712555114,0
0.3,-0.03141438778782207,0
0.304,-0.03917088652447085,0
0.308,-0.04519171921981938,0
0.312,-0.04913375866400013,0
0.316,-0.050728331845439435,0
0.32,-0.04980367065633687,0
0.324,-0.04630630360290164,0
0.328,-0.04031143387405513,0
0.332,-0.032063316579441045,0
0.336,-0.021979487858906938,0
0.34,-0.010615677216801275,0
0.34400000000000003,0.0013703329702486403,0
0.34800000000000003,0.013254847945558902,0
0.352,0.02428440106461098,0
0.356,0.03371189428727452,0
0.36,0.04083062307218043,0
0.364,0.04503059694815457,0
0.368,0.04593735855356024,0
0.372,0.04344273128377215,0
0.376,0.0376886405565512,0
0.38,0.02905063098994161,0
0.384,0.01812138358016802,0
0.388,0.005694232879532683,0
0.392,-0.007253315825687377,0
0.396,-0.019587618352476147,0
0.4,-0.030174850136013544,0
0.404,-0.03805521404905657,0
0.40800000000000003,-0.042498147191642646,0
0.41200000000000003,-0.04304542905890715,0
0.41600000000000004,-0.03955429164644768,0
0.42,-0.03224052955568822,0
0.424,-0.021721607163460062,0
0.428,-0.009025852638442328,0
0.432,0.0045684800069754825,0
0.436,0.01767476350971269,0
0.44,0.028920169834476615,0
0.444,0.037075623235898095,0
0.448,0.04118575332066705,0
0.452,0.04069884810966805,0
0.456,0.03559004321681755,0
0.46,0.026375414628476195,0
0.464,0.014080234916145955,0
0.468,0.00013356850119085328,0
0.47200000000000003,-0.013813427330450066,0
0.47600000000000003,-0.02607082893566804,0
0.48,-0.035092531824556496,0
0.484,-0.03964800984551226,0
0.488,-0.03909044748745941,0
0.492,-0.0334764530187643,0
0.496,-0.023491922055595044,0
0.5,-0.010368076899462352,0
0.504,0.00420250560864194,0
0.508,0.018203549056004176,0
0.512,0.02965800526114933,0
0.516,0.0369103638226538,0
0.52,0.03886399502631391,0
0.524,0.035167356112181455,0
0.528,0.026290287819487064,0
0.532,0.013490445393509347,0
0.536,-0.001340425042841719,0
0.54,-0.015960926758963472,0
0.544,-0.028100930796001546,0
0.548,-0.03582016870136846,0
0.552,-0.037863069189452425,0
0.556,-0.03382661893455542,0
0.56,-0.02428090881195053,0
0.5640000000000001,-0.010741902792123427,0
0.5680000000000001,0.004574744591513278,0
0.5720000000000001,0.019116017652007294,0
0.5760000000000001,0.030403949983429844,0
0.58,0.03645246113079595,0
0.584,0.03618127076794314,0
0.588,0.029572737957565005,0
0.592,0.017714040008374867,0
0.596,0.002687797059808452,0
0.6,-0.012818166408238303,0
0.604,-0.02598359004311455,0
0.608,-0.03436143885072072,0
0.612,-0.036349502155029065,0
0.616,-0.031552868133229967,0
0.62,-0.020808980933020537,0
0.624,-0.0061003753060802565,0
0.628,0.009771397532322493,0
0.632,0.023758026652847805,0
0.636,0.03312876339739758,0
0.64,0.036011661385382115,0
0.644,0.0318167040790494,0
0.648,0.02135856268173459,0
0.652,0.006652191310508093,0
0.656,-0.009381960531327432,0
0.66,-0.023537243216369144,0
0.664,-0.03297109393263634,0
0.668,-0.03575833954620909,0
0.672,-0.03131537120741869,0
0.676,-0.02056304603225838,0
0.68,-0.005667805296306696,0
0.684,0.010386417127085112,0
0.6880000000000001,0.02431332890258681,0
0.6920000000000001,0.03334743086371425,0
0.6960000000000001,0.03573467158535162,0
0.7000000000000001,0.0309723154291074,0
0.704,0.020018193884941797,0
0.708,0.005106241737544212,0
0.712,-0.010810785102192855,0
0.716,-0.024634065228084277,0
0.72,-0.03373511759629688,0
0.724,-0.03644238202206177,0
0.728,-0.032344718681531714,0
0.732,-0.022317260520501897,0
0.736,-0.008260440914672047,0
0.74,0.007257594358993081,0
0.744,0.021545690510282003,0
0.748,0.032255797976800595,0
0.752,0.037755387084415365,0
0.756,0.03737023021614168,0
0.76,0.03140779338260193,0
0.764,0.020967763710745407,0
0.768,0.007675804857662026,0
0.772,-0.006603898991730139,0
0.776,-0.02012909392543511,0
0.78,-0.03150462964503007,0
0.784,-0.03980245943538046,0
0.788,-0.04464564495565528,0
0.792,-0.046141284094743995,0
0.796,-0.044758393135232055,0
0.8,-0.041188208527407885,0
0.801,-4.446988476525931e12,0
0.802,-4.3115051288112256e12,0
0.803,-4.168866546012378e12,0
0.804,-4.0203305252524443e12,0
0.805,-3.8671041326223965e12,0
0.806,-3.7103401048425356e12,0
0.807,-3.551133250923925e12,0
0.808,-3.3905168538298066e12,0
0.809,-3.2294590721370293e12,0
0.81,-3.0688593416974707e12,0
0.811,-2.9095447772994614e12,0
0.812,-2.7522665743292065e12,0
0.8130000000000001,-2.5976964104322134e12,0
0.8140000000000001,-2.446422963999009e12,0
0.8150000000000001,-2.2989583822276846e12,0
0.8160000000000001,-2.1557511263429902e12,0
